run.order.file,run.system.seconds_since_epoch,run.system.time,trial.staircase.durationFrames,trial.staircase.thisTrialN,trial.system.seconds_since_epoch,trial.system.time,trial.number,time.onset,trial.response,trial.staircase_stim_duration,trial.rt,trial.stim_duration,trial.should_nudge,trial.reward,total_earnings,fix.after.feedback.adjusted,time.trial,time.run,time.global,subid,session,run,trial.type,fix.after.cue,fix.after.stim,fix.after.feedback,trial.cue_rt,trial.too_fast_rt,participant,session,fMRI? (yes or no),fMRI trigger on TTL? (yes or no),fMRI reverse screen? (yes or no),use ranged rewards?,use nudge for final run?,do only a single behavioral practice run?,start run (0-3),staircase start reward.low,staircase start reward.high,staircase start neutral,staircase start loss.low,staircase start loss.high,date,expName,frameRate,
,,,11,7,1650893052.4939501,Mon Apr 25 15:24:12 2022,37,783.3186440998688,1,0.2833333333333333,0.2830278999172151,0.2830278999172151,False,10,330,4.571283485740423,14.350380699615926,100.72811490017921,797.6690313997678,5,1,2,reward.low,2.5136634754016995,2.7173394253477454,4.354311385657638,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,13,11,1650893066.844344,Mon Apr 25 15:24:26 2022,38,797.6690837000497,1,0.31666666666666665,0.31684020021930337,0.31684020021930337,False,0,330,4.42577134585008,14.133140299934894,114.86131069995463,811.8022257997654,5,1,2,neutral,2.5428366052219644,2.611890916421544,4.242611546069384,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,12,6,1650893080.9774878,Mon Apr 25 15:24:40 2022,39,811.8023017998785,0,0.30000000000000004,,0.30000000000000004,False,-10,320,3.0766980522312224,11.800903600174934,126.66229479992762,823.603210600093,5,1,2,loss.low,2.0786043679108843,2.099126732617151,3.0766980522312224,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,13,6,1650893092.7783053,Mon Apr 25 15:24:52 2022,40,823.6032573999837,1,0.31666666666666665,0.3173155998811126,0.3173155998811126,False,70,390,3.844638792332262,12.98355170013383,139.64589700009674,836.5868126000278,5,1,2,reward.high,2.2790360765648074,2.300986772228498,3.6619543922133744,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,12,12,1650893105.7622516,Mon Apr 25 15:25:05 2022,41,836.5868584997952,1,0.30000000000000004,0.2830860000103712,0.2830860000103712,False,0,390,3.7497924668714404,13.0168387000449,152.6627850001678,849.6037006000988,5,1,2,neutral,2.4154059711145237,2.3266356669482775,3.5328784668818116,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,11,8,1650893118.7788706,Mon Apr 25 15:25:18 2022,42,849.6037603998557,1,0.2833333333333333,0.26776820002123713,0.26776820002123713,False,10,400,4.282005418092012,13.466320099774748,166.12916789995506,863.070083099883,5,1,2,reward.low,2.508095243363641,2.1444119857624173,4.0497736181132495,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,12,13,1650893132.245368,Mon Apr 25 15:25:32 2022,43,863.0701251998544,1,0.30000000000000004,0.3000159002840519,0.3000159002840519,False,0,400,4.125082608312368,13.351310200057924,179.48051990009844,876.4214349999093,5,1,2,neutral,2.2694731077062897,2.4058935859939083,3.9250985085964203,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,11,14,1650893145.5965865,Mon Apr 25 15:25:45 2022,44,876.4214944001287,1,0.2833333333333333,0.2831933000124991,0.2831933000124991,False,0,400,4.093653859104961,13.91630360018462,193.39688730007038,890.337802699767,5,1,2,neutral,2.701228960766457,2.5734128680778667,3.8768471591174603,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,12,6,1650893159.513046,Mon Apr 25 15:25:59 2022,45,890.3378441999666,0,0.30000000000000004,,0.30000000000000004,False,-70,330,4.602815666701645,14.067548800259829,207.4644816000946,904.4053964000195,5,1,2,loss.high,2.308868443593383,2.609833694936242,4.602815666701645,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,13,7,1650893173.5807025,Mon Apr 25 15:26:13 2022,46,904.4054350997321,1,0.31666666666666665,0.30056479992344975,0.30056479992344975,False,70,400,4.17983593698591,13.350285999942571,220.81481030024588,917.7557259998284,5,1,2,reward.high,2.5418781394837424,2.1129802471841685,3.9804007369093597,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,13,7,1650893186.9303575,Mon Apr 25 15:26:26 2022,47,917.755770499818,1,0.31666666666666665,0.30028209974989295,0.30028209974989295,False,0,400,3.2933667358011007,12.550378900021315,233.36523739993572,930.3061525998637,5,1,2,loss.high,2.4792358251288533,2.2530665427912027,3.0936488355509937,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,10,9,1650893199.4807231,Mon Apr 25 15:26:39 2022,48,930.3061919999309,0,0.26666666666666666,,0.26666666666666666,False,0,400,4.652532818261534,14.216519800014794,247.58180030016229,944.5227155997418,5,1,2,reward.low,2.3088909472571686,2.7016550141270272,4.652532818261534,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,13,7,1650893213.6973681,Mon Apr 25 15:26:53 2022,49,944.5227572997101,1,0.31666666666666665,0.3172312998212874,0.3172312998212874,False,0,400,4.067899097222835,13.567505999933928,261.1493514003232,958.090266500134,5,1,2,loss.low,2.5491193539928645,2.419188413361553,3.885130397044122,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,13,8,1650893227.2648633,Mon Apr 25 15:27:07 2022,50,958.090324900113,1,0.31666666666666665,0.3168182000517845,0.3168182000517845,False,0,400,4.970769631676376,14.783323099836707,275.9327384000644,972.8736548000015,5,1,2,loss.high,2.6255173544050194,2.6293639231007546,4.78758783172816,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
,,,13,8,1650893242.048977,Mon Apr 25 15:27:22 2022,51,972.8737077000551,0,0.31666666666666665,,0.31666666666666665,False,-10,390,4.610013944096863,14.08430019998923,290.0170946000144,986.958009599708,5,1,2,loss.low,2.4683612122316845,2.4720911818440072,4.610013944096863,,,005,1,yes,yes,no,no,no,no,1,15,15,15,15,15,2022-04-25_15h11.06.837,MID1.0,59.986922946756856,
